DJIA	FTSE100	USDGBP	CAC40	EURUSD	Nikkei	YENUSD
13121.35	6078.7	1.9857	5399.38	0.7418	15732.48	114.83
13090.86	6086.1	1.9834	5418.78	0.7412	15901.34	114.34
13236.13	6196	1.9913	5518.17	0.7398	15900.64	115.03
13235.88	6196.9	2.0057	5523.33	0.7366	16316.32	116.25
13378.87	6220.1	2.0096	5569.38	0.7332	16248.97	115.91
13041.85	6102.2	2.0095	5474.17	0.7329	16287.49	114.95
13289.29	6132.2	2.0144	5520.02	0.7326	16012.83	115.09
13238.73	6212	2.0154	5592.53	0.7332	16153.82	115.8
13357.74	6303.3	2.0171	5662.7	0.7335	16569.09	115.92
13448.86	6376.8	2.0102	5672.72	0.736	16420.47	116.2
13305.47	6270.7	2.0199	5551.55	0.7325	16158.45	115.35
13363.35	6313.3	2.0217	5576.62	0.7304	16257	115.25
13113.38	6191.2	2.0252	5430.1	0.7265	16122.16	113.45
13127.85	6134.1	2.0285	5386.43	0.725	15764.97	113.29
13308.39	6280.7	2.0302	5478.94	0.7228	15877.67	114.1
13291.65	6306.2	2.0307	5508.01	0.7201	15797.6	114.2
13424.88	6363.9	2.0273	5565.97	0.7204	15821.19	115.41
13442.52	6289.3	2.0117	5538.92	0.721	16127.42	115.07
13739.39	6283.3	1.9968	5549.35	0.721	15801.8	115.81
13815.56	6460	1.9993	5730.82	0.7164	16381.54	116.27
13766.7	6429	2.0139	5688.76	0.7099	16413.79	114.55
13820.19	6456.7	2.0206	5700.65	0.7095	16312.61	115.41
13778.65	6396.9	2.0161	5641.59	0.708	16401.73	114.36
13878.15	6433	2.0153	5690.77	0.7081	16435.74	115.7
13912.94	6486.4	2.0239	5733.37	0.7066	16832.22	115.67
13895.63	6466.8	2.0374	5715.69	0.703	16785.69	115.02
14087.55	6506.2	2.043	5773.26	0.7021	16845.96	115.66
14047.31	6500.4	2.0408	5799.27	0.7066	17046.78	115.9
13968.05	6535.2	2.037	5806.18	0.7069	17199.89	116.75
13974.31	6547.9	2.0413	5804.39	0.7075	17092.49	116.46
14066.01	6595.8	2.0417	5843.24	0.7071	17065.04	116.7
